31886799000199;;ASSOCIAÇÃO CASA DO PONTAL;ESTRADA DO PONTAL, 3295 - RECREIO;22785-560;RIO DE JANEIRO;RJ;(21) 2490-3278;
07379466000199;ACB;ASSOCIAÇÃO CULTURAL BURITI;AVENIDA DAS AMÉRICAS, 1917, BLOCO B - BARRA DA TIJUCA;22631-000;RIO DE JANEIRO;RJ;(21) 2524-5946 - 2533-6317;
05977454000130;ACMA;ASSOCIAÇÃO DE CULTURA E MEIO AMBIENTE - ACMA;RUA BARÃO DE JAGUARIPE, 121/301 - IPANEMA;22421-000;RIO DE JANEIRO;RJ;(21) 2423-6306 - (21) 2421-6121;(21) 2423-6306
03360608000115;;ASSOCIAÇÃO DOS AMIGOS DA ARTE POPULAR BRASILEIRA;RUA ALVARO ALVIM, 27 11 ANDAR  SALA 113 - CENTRO;20031-010;RIO DE JANEIRO;RJ;(21) 2558-2023;(21) 2245-2717
06370226000160;;ASSOCIAÇÃO O ECO - O ECO;RUA MARY PESSOA, 256, FUNDOS - GÁVEA;22451-220;RIO DE JANEIRO;RJ;(21) 3205-3839;
06555811000135;VIA BRASIL;ASSOCIAÇÃO VIA CULTURAL BRASIL;ESTRADA RODRIGUES CALDAS, 2010, FDS APT. 106 - TAQUARA;22713-375;RIO DE JANEIRO;RJ;;
02979479000185;;CÂMARA DE CULTURA, COMÉRCIO E TURISMO BRASIL;RUA SÃO JOSÉ, 90 - SALA 1106 - CENTRO;20010-020;RIO DE JANEIRO;RJ;0xx21-2215 - 5515;0xx21-2215 - 8689
01315883000191;CEMCO;CENTRO DE ESTUDOS DE MÚSICA CORAL;RUA CONDE DE BONFIM, 1325, BLOCO B, APTO 704 - TIJUCA;20530-001;RIO DE JANEIRO;RJ;;
04906029000198;PRESERV;CENTRO PRESERV DE PROMOÇÃO DO DESENVOLVIMENTO SUSTENTADO;AV.RIO BRANCO, 257 SALA 508 - CENTRO;20040-009;RIO DE JANEIRO;RJ;(21) 2210-1343;
06085782000195;;CINEMA NOSSO;RUA VOLUNTÁRIOS DA PÁTRIA, 53 2 ANDAR - BOTAFOGO;20231-092;RIO DE JANEIRO;RJ;;
05075576000131;FUNDACAO ARO;FUNDAÇÃO CULTURAL ARO;RUA MARCÍLIO DIAS, 26, SALA 302, PARTE - CENTRO;20221-280;RIO DE JANEIRO;RJ;(21) 2518-4343;(21) 2253-9569
04723294000130;ISCAL;INSTITUIÇÃO SOCIAL CULTURAL ALEGRIA DE LER;RUA TEODORO DA SILVA, 907-PTE.,C/ENTR.SUPLEM. R.N.S.LOURDES 128-VL.ISABEL;20560-001;RIO DE JANEIRO;RJ;(21) 3879-7766 R/7232/7768;
07682216000123;;INSTITUTO ART DÉCO BRASIL;RUA PACHECO LEÃO, 110 - JARDIM BOTÂNICO;22460-030;RIO DE JANEIRO;RJ;;
07508414000175;IBGP;INSTITUTO BRASILEIRO DE GESTÃO PÚBLICA;AVENIDA DAS AMERICAS, 500 - BLOCO 13 - SALA 310 - BARRA DA TIJUCA;22640-100;RIO DE JANEIRO;RJ;IBGP@IBGP.ORG.BR;
05596539000179;IDEIA;INSTITUTO DE DESENVOLVIMENTO, ESTUDO E INTEGRAÇÃO PELA ANIMAÇÃO;RUA VOLUNTÁRIOS DA PATRIA, 259 - BOTAFOGO;22270-003;RIO DE JANEIRO;RJ;(21) 2543-8860 - 2244-4210;
03808720000176;;INSTITUTO DE IMAGEM E CIDADANIA RIO DE JANEIRO;RUA GONZAGA BASTOS, 312 - VILA ISABEL;20541-000;RIO DE JANEIRO;RJ;;
04521945000100;;INSTITUTO EMBRATEL CLARO;AV.PRESIDENTE VARGAS, 1012, 16 ANDAR - CENTRO;20071-002;RIO DE JANEIRO;RJ;(0**21) 2121-6239;(21) 2121-8515
05381947000103;IPC;INSTITUTO PÉ NO CHÃO;RAUL POMPEIA, 23, SALA 704, BAIRRO COPACABANA;22080-000;RIO DE JANEIRO;RJ;(21) 2513-0240;(21) 2513-0240
07579027000120;;INSTITUTO TAMANDUÁ SYNAPSE CULTURAL;AV. ATAULFO DE PAIVA, 35, LOJA 302 PARTE - LEBLON;22440-901;RIO DE JANEIRO;RJ;(21) 2537-1211;(21) 2537-4876
